Start,End,Dvol,LFI
1982-06-14,1982-06-16,1032.7987459214885,0.008769912917319878
1982-07-13,1982-07-18,5775.448891998399,0.04806449138322577
1982-08-22,1982-08-24,1363.8848540737586,0.011564987098410806
1983-05-28,1983-05-31,13947.10254627,0.11215035741177204
1983-06-05,1983-06-09,15773.720259611504,0.12587495086411182
1983-06-14,1983-06-21,28094.791072805696,0.21307041954535066
1983-07-19,1983-07-23,5500.82493132294,0.045832227163138506
1984-08-24,1984-08-25,2726.0420921768136,0.022981829411096943
1984-10-27,1984-11-16,280429.8675087881,0.9085302362974693
1984-12-11,1984-12-15,44306.86993279473,0.31469209714050417
1984-12-18,1985-02-04,2344260.764085365,0.9999999979261719
1985-02-26,1985-02-28,119052.62874725327,0.6377363762533439
1985-05-12,1985-05-16,9545.1765264088,0.07818383745967228
1985-05-19,1985-07-29,211420.1175167429,0.8352246721026395
1997-06-08,1997-06-11,8241.811258623946,0.06787956125072114
1997-07-20,1997-07-22,1585.9616611024617,0.013435372211494157
1997-12-24,1997-12-28,47951.020432170575,0.3356641734224771
1998-02-08,1998-03-15,2738725.7265022714,0.9999999999282767
1998-03-20,1998-04-01,875821.5788586306,0.9994299342179647
1998-04-06,1998-04-18,448479.6075467844,0.9781819868344024
1998-08-01,1998-08-08,15535.104845105783,0.12409419249804898
1998-09-07,1998-09-09,6461.3517819680965,0.05361702774610222
1999-02-12,1999-02-18,271085.4914576858,0.9009420202687565
1999-02-20,1999-03-03,436315.8917192334,0.9757969529017065
1999-04-08,1999-05-01,558199.1991703787,0.9914412599498853
1999-06-20,1999-07-05,41769.86496677592,0.2997019793306658
2000-03-05,2000-03-08,60325.07373125354,0.4022030019902548
2000-06-22,2000-06-24,4132.808667449185,0.03463416184954715
2000-11-02,2000-11-04,6570.5995731279745,0.05449841792395094
2001-07-16,2001-07-17,8360.26551974004,0.06882078807356073
2001-07-20,2001-07-22,12045.167132158058,0.09763080238720001
2001-08-13,2001-08-17,18542.75302974004,0.1462770283096949
2001-09-17,2001-09-29,51884.705104758075,0.3575827964276357
2001-10-02,2001-10-05,27900.971983669864,0.2117685053513677
2001-10-23,2001-10-26,24702.127850484423,0.18996754693544937
2001-11-29,2001-12-04,4805.8051018494925,0.040159384977876855
2001-12-11,2001-12-14,12329.944518744429,0.09981984085436246
2002-08-09,2002-08-12,9971.531066120931,0.08152976683721558
2002-08-21,2002-08-23,9996.810839807558,0.08172777467745185
2003-07-16,2003-07-18,3210.788929424398,0.02701281375518294
2003-07-21,2003-07-23,5460.7457637771595,0.045506008650551655
2003-08-08,2003-08-19,49653.49265511046,0.3452407316010515
2003-08-29,2003-09-05,19166.591814369513,0.15080731230222044
2003-09-22,2003-09-29,10244.844511286614,0.08366827511780561
2003-10-27,2003-10-31,19729.560324634862,0.15487492013885673
2004-03-02,2004-03-04,9318.958048363489,0.07640358186244955
2004-04-28,2004-05-07,27080.875950168756,0.20623590690919746
2004-05-13,2004-05-16,2860.871408352325,0.024104696175367812
