Start,End,Dvol,LFI
1987-03-20,1987-04-21,4285481984.2234535,0.9972338177892491
1988-09-02,1988-09-19,182490822.34443122,0.22184460962642982
1988-11-15,1988-11-26,262774328.18452513,0.3031441490625768
1988-12-19,1988-12-29,125543272.30178186,0.1584888954904149
1989-11-26,1989-12-09,203920632.18620843,0.24443070343105133
1990-03-20,1990-03-31,754186985.5843607,0.6453454414555042
1994-09-03,1994-09-22,248410776.65834922,0.2892498823868985
1995-05-31,1995-06-16,655054354.7136202,0.5935749438193206
1995-07-01,1995-07-14,258780940.41159862,0.29930872264690367
1995-09-12,1995-09-19,88223681.61209781,0.11419746956919874
1995-10-13,1995-11-21,1018591769.2460902,0.7534101283303329
1995-12-27,1996-01-18,1983111174.859062,0.934502048951552
1996-07-29,1996-08-12,79805369.91310786,0.10388853710695534
1999-08-29,1999-09-04,11521019.814913,0.015710631900026306
1999-10-22,1999-11-02,186664292.8901348,0.22629558760084356
2000-02-18,2000-03-02,711854766.3022726,0.6240978720077738
2000-10-18,2000-10-24,53587648.96678893,0.07100774334352766
2000-12-26,2001-01-01,415676103.5241522,0.43522979459965505
2004-03-04,2004-03-20,1512015005.3901646,0.8748480381806278
2005-05-06,2005-05-24,1114087532.7842312,0.783742464056928
2005-08-03,2005-09-08,323837935.81290245,0.3592443497707871
2005-09-26,2005-10-02,60832470.003540516,0.08021257883586397
2006-05-17,2006-06-12,708598604.9211847,0.622411747239628
2008-12-03,2008-12-17,315864916.87458646,0.3521838756931679
2009-02-05,2009-02-12,715339314.2783632,0.6258939220486066
2010-04-16,2010-04-30,838550503.7354143,0.6841748593884699
2016-01-27,2016-02-03,1151440096.7795913,0.7945649688138938
2016-11-13,2016-11-19,282173649.5507651,0.32147949721638736
2016-12-22,2016-12-29,375734796.44446415,0.4033580086435389
2017-01-23,2018-10-11,2902363338.984551,0.9814859502925875
