Start,End,Dvol,LFI
1984-09-15,1984-10-28,413389626.81638885,0.6514587342469533
1987-04-21,1987-05-05,68577907.12295464,0.16041673646486487
1988-11-21,1988-11-29,57930211.87436627,0.1373116132086808
1989-11-24,1989-12-05,77935070.08148943,0.18021003415063375
2004-03-12,2004-04-16,1760631842.6254199,0.9887680631975219
2005-03-11,2005-03-18,83636407.05165616,0.19204064227412476
2005-04-02,2005-05-19,336347447.56013274,0.5758075749581656
2005-08-26,2005-09-06,39998683.94409851,0.0969547568224629
2006-09-18,2006-09-29,33754074.456516765,0.08246179382622632
2007-08-24,2007-09-27,77016732.78365506,0.17828829766317833
2008-07-20,2008-08-16,784219694.3402182,0.864595046396173
2008-12-13,2009-01-22,288984110.7225342,0.5213607931616406
2010-05-27,2010-07-22,2061480026.4708521,0.9947841409280366
2010-08-27,2010-09-10,8521894.76188788,0.02149349528624145
2010-10-16,2010-11-30,373193637.37044513,0.6138436588628624
2010-12-29,2011-01-04,133823279.14201923,0.28908503379427986
2011-10-12,2011-10-19,19388407.582076784,0.048231687724477834
2012-01-26,2012-02-08,281378263.1470474,0.5119883213313843
2016-01-28,2017-03-14,551797424.327024,0.7550962529529497
