Start,End,Dvol,LFI
1985-12-04,1985-12-11,21747442.65752462,0.4123078913264052
1988-10-08,1988-10-25,13515154.688743316,0.2813192894223776
1988-11-07,1988-11-19,28007640.956277408,0.4956900280472234
1989-10-31,1989-12-25,81201359.07670766,0.8625819753291177
1990-03-04,1990-03-26,55613027.225873135,0.7431585789116381
1993-03-01,1993-03-14,9548045.364326797,0.20814248409949265
1994-08-28,1994-09-22,15444711.06085655,0.31442707853579377
1995-06-04,1995-07-07,33983924.139361545,0.564228297962831
1995-12-19,1996-01-04,65320832.10397759,0.7974108172472558
1996-05-07,1996-05-16,6644478.738465693,0.1499028868443949
1996-07-18,1996-09-05,67533861.62227866,0.808077965570409
1996-09-15,1996-09-22,8903226.286118703,0.19556338764481362
1997-04-02,1997-04-15,65113003.33520684,0.7963790943277456
1999-09-03,1999-09-12,983620.8706213068,0.023755011293862816
2002-01-13,2002-01-27,77954155.03900021,0.8512308344193114
2004-01-23,2004-03-13,317638145.1291363,0.9995751301206607
2005-02-27,2005-03-08,23823878.149880253,0.44139039687943793
2006-05-06,2006-06-03,21288644.838709585,0.4056804453273285
2009-04-15,2009-05-09,54824999.993491545,0.7381636062599428
2010-04-12,2010-04-22,45785273.55279224,0.6734218398322244
2010-06-23,2010-07-10,11483142.970920697,0.24472364307996486
2010-08-20,2010-09-25,7491324.538016794,0.16731789233170358
2010-10-08,2010-10-28,20725481.965613827,0.39744316012664027
2010-11-09,2010-11-28,6126368.358979026,0.1390690757828914
2011-05-11,2011-05-24,19769470.746614903,0.383197499948573
2011-06-03,2011-06-19,20033873.164507262,0.38717075660269884
2011-12-19,2012-01-11,64594238.015486866,0.7937808068122228
2013-01-26,2013-02-11,59351292.964970134,0.7655861892169198
2013-04-26,2013-05-12,20870289.552920695,0.3995720766532651
2013-06-05,2013-06-16,22029872.873485457,0.41635086126921983
2017-02-01,2017-10-19,955245.6246516418,0.02307770251996466
