Start,End,Dvol,LFI
1987-03-20,1987-04-20,4227648054.589727,0.9910682910492105
1988-08-16,1988-09-19,314169692.283108,0.29574884755204156
1989-11-26,1989-12-08,26428901.90879877,0.029064492510975537
1990-03-20,1990-04-15,845821380.1640991,0.6109140960454729
1994-08-31,1994-09-21,300770204.98735744,0.28513825272348226
1995-06-04,1995-06-15,301712214.23108345,0.2858893940314653
1995-06-30,1995-07-13,128382907.57922034,0.1334869660062702
1995-09-10,1995-09-18,114370763.36664557,0.1198300533454778
1995-10-12,1995-11-20,1167041894.1502478,0.7281335249378325
1995-12-29,1996-01-05,814050137.2377361,0.5968706199267031
1996-07-31,1996-08-11,28372572.654617906,0.03116834277389058
1999-08-26,1999-09-05,41932969.839161016,0.045719962122875324
1999-10-21,1999-11-01,259089780.66938597,0.2511000270868966
2000-02-24,2000-03-02,456678690.9313432,0.3993022541533806
2000-10-17,2000-10-24,68255984.2367503,0.07334612834828136
2004-03-04,2004-03-19,1195183886.2353306,0.7365393640411494
2005-05-07,2005-05-20,268638549.73918235,0.2590384072342141
2005-08-23,2005-09-07,50846520.689524494,0.05516581001249543
2006-06-03,2006-06-10,61133754.963808335,0.06595121077855914
2007-10-10,2007-10-16,59793623.078750305,0.06455318685800371
2010-04-16,2010-04-24,286872992.7896163,0.27396461320886156
2014-06-06,2014-06-13,106920720.1976788,0.11248145149303945
2015-11-27,2016-02-20,9331653117.83391,0.9999700004631903
2017-02-04,2017-02-24,941419544.031603,0.6502878057831948
2017-05-10,2017-07-21,1329204113.7889173,0.7731396868089239
2017-10-10,2018-02-05,570642296.0033579,0.4710435951907086
