Start,End,Dvol,LFI
1976-11-04,1976-12-02,19805104.669593163,0.6495625823927509
1976-12-19,1976-12-28,22387465.321206745,0.69434405284857
1977-01-22,1977-02-05,59754452.68982543,0.9577298864856375
1977-06-17,1977-07-05,2352813.3765267245,0.11712242866715628
1978-10-06,1978-10-31,12831286.226957548,0.4930521721299981
1978-11-10,1978-11-20,15135937.913410489,0.5512844101768701
1981-06-29,1981-08-03,886509.1684410754,0.04585140925702258
1982-07-18,1982-10-08,8392347.249873223,0.35874583125984083
1983-01-02,1983-02-14,93024089.46447402,0.992738161509768
1983-04-17,1983-05-01,5179869.383336807,0.23985498832984198
1985-06-14,1985-06-21,3677386.1910382,0.17691656386430366
1985-07-08,1985-08-07,1857595.6958761709,0.0936680432802679
1987-02-17,1987-04-15,119961183.04550204,0.9982555145071947
1988-11-14,1988-12-22,14233210.34382563,0.5293174865774983
1989-11-18,1989-11-30,6914380.977755863,0.30655202753920885
1990-02-22,1990-03-05,14830173.206294658,0.5439612227362165
1990-03-21,1990-05-04,43909266.640021354,0.902192899781824
1991-06-17,1991-09-06,16049867.821791204,0.5724797683256008
1991-12-15,1991-12-24,25490989.35358398,0.7406586086078704
1992-01-30,1992-02-16,36056971.57143204,0.8517746554361323
1992-03-20,1992-03-28,1072228.9023266626,0.055187438963884894
1994-08-12,1994-10-17,11992550.499554772,0.4700330672191111
1995-02-04,1995-02-15,6111327.029042836,0.2764326889513655
1995-06-25,1995-07-03,76180.26321190476,0.004025209815020969
1995-08-09,1995-08-15,1422614.0895312275,0.07255308369877933
1995-12-17,1996-01-16,52153538.883823656,0.9367871525675973
2002-01-20,2002-01-29,2716211.007532999,0.13394657208080152
2003-10-09,2003-10-26,1952253.1873275717,0.09819885557054453
2003-11-21,2003-12-08,8154359.985037367,0.35061482184090886
2004-02-28,2004-03-18,23691793.683580033,0.714739446985085
2004-04-07,2004-04-14,3060604.597553319,0.14959489981450336
2005-01-30,2005-02-06,1463913.803714192,0.07457882026546958
2007-01-28,2007-02-07,2366711.4219293073,0.11777183425948878
2008-09-07,2008-09-30,1236665.6522641978,0.06337730899064487
2012-01-14,2012-01-24,20866637.618452664,0.6687147746368869
