x,y,z,code,name,river,start,end,dens,Q95_01,Q95_02,Q95_03,Q95_04,Q95_05,Q95_06,Q95_07,Q95_08,Q95_09,Q95_10,Q95_11,Q95_12,lambda
-68.1478,-16.4492,3952,Achachicala,ACHACHICALA,Rio Kaluyo,1980,2020,0.9692601953685361,0.379,0.472,0.396,0.176,0.127,0.118,0.092,0.117,0.116,0.148,0.170,0.198,9.747357586074564e-06
-68.09428,-16.560055,3000,Aranjuez,ARANJUEZ,Rio Choqueyapu,1990,2020,0.9476345250993138,3.736,4.337,3.413,2.811,2.008,1.941,1.801,1.726,1.846,2.106,2.607,2.995,1.613465419524552e-06
-65.5847,-10.5372,120,CachEsperanz,CACHUELA ESPERANZA,Rio Beni,1981,2020,0.998517891170866,9879.200,12370.000,11784.000,8684.600,5766.200,3867.200,2864.800,2171.800,1844.900,2250.400,3416.100,5558.750,1.3999885495251723e-09
-64.86428,-15.336275,150,Camiaco,CAMIACO,Rio Mamoré,1986,2020,0.967994879180669,1731.300,2283.650,2719.350,2377.550,1442.600,847.145,627.600,407.230,262.835,312.430,579.240,955.415,1.783103433648051e-09
-68.07689,-16.482195,3420,Chicani,CHICANI,Rio Kallapa,1977,2020,0.9424316658071171,0.518,0.664,0.572,0.346,0.222,0.165,0.155,0.158,0.166,0.195,0.235,0.295,1.1312620365051653e-05
-65.342766,-10.812504,120,Guayaramerin,GUAYARA MERIN (Lado Boliviano),Rio Mamoré,1983,2020,1.000075199278087,5258.200,8557.750,11360.000,11958.000,8825.500,4913.750,2038.750,1119.000,853.795,721.880,1113.000,1999.100,1.6422467281287077e-09
-65.00322,-12.804334,136,PtoSiles,PUERTO SILES,Rio Mamoré,1983,2020,0.9985863095238096,3625.550,5122.600,6770.400,6469.600,4120.200,2187.000,1089.750,776.080,628.300,609.460,914.600,1450.900,2.7319484987984426e-09
-66.062584,-10.99347,122,Riberalta,RIBERALTA,Rio Beni,1983,2020,0.9736998956936374,7217.200,10370.000,10820.000,7434.500,4663.400,3357.800,2433.200,1918.000,1732.850,2043.850,3224.850,4567.400,9.658635718877484e-10
-67.6908,-15.692361,550,SantaRita,SANTA RITA DE BUENOS AIRES,Rio Coroico,1976,2020,0.9564589092736868,210.165,233.930,196.675,144.860,78.840,54.887,41.968,39.070,38.572,54.415,82.338,123.260,5.1002564808900725e-08
-68.1478,-16.4492,3952,Achachicala,ACHACHICALA,Rio Kaluyo,1980,2020,0.9692601953685361,0.379,0.472,0.396,0.176,0.127,0.118,0.092,0.117,0.116,0.148,0.170,0.198,9.747357586074564e-06
