Start,End,Dvol,LFI
1969-10-13,1969-11-27,1304196.9795282383,0.5067898320713005
1970-01-22,1970-01-28,293797.2885983782,0.14719619988985633
1971-08-25,1971-11-07,4885827.7984586125,0.9292011914090913
1972-06-01,1972-06-28,128066.42195237143,0.06705274514950466
1992-02-04,1992-02-13,1198151.2998054228,0.477613526786104
1992-02-26,1992-04-18,2537313.070996763,0.74718996765229
1992-07-01,1992-10-01,4473146.104700996,0.9114561164815327
1992-12-06,1992-12-24,1558274.6500084847,0.5702361036305352
1993-02-17,1993-02-27,2532672.917990337,0.7465534090844002
1993-11-26,1993-12-03,254321.40552656754,0.12875451730678367
1995-02-07,1995-02-23,2774342.430436929,0.7776665224093512
1996-03-13,1996-03-21,245330.70166666887,0.12449894177717769
1997-03-18,1997-04-07,1330139.067891844,0.5136756117013193
1997-04-24,1997-08-07,4119802.304055409,0.8927678873732191
1997-12-02,1998-01-02,468093.07112578,0.22406517486719246
1998-01-14,1998-01-20,224967.93931764408,0.11478361238011847
1998-02-23,1998-03-27,3288918.6480612517,0.8317754413000285
1998-04-07,1998-09-08,5848581.358230502,0.9579831701345616
1999-10-13,1999-10-22,230481.36154495596,0.11742472905616408
2000-04-23,2000-05-13,176170.1206931147,0.09106054523562446
2010-02-07,2010-02-17,4387987.945261221,0.9072738590786726
2010-11-02,2010-12-06,463968.4042653483,0.22232871322233305
2010-12-16,2011-02-01,5957293.364217912,0.9603871755461568
2011-08-28,2011-09-03,117625.4377335577,0.06175862946901134
2011-11-10,2011-11-18,23786.242789451022,0.012808407953188383
2011-11-29,2011-12-11,656477.1731609541,0.29937536632515094
2016-01-04,2016-01-17,406123.3310663372,0.19756286114124422
2017-02-17,2018-04-07,1778670.2311791617,0.6186220617576216
