Start,End,Dvol,LFI
1973-12-12,1973-12-22,7422561.194407012,0.3505340190948726
1976-10-01,1976-11-28,48591453.38563238,0.940719863325737
1976-12-19,1977-01-01,7626749.447136822,0.3581995811997597
1980-02-10,1980-02-17,12978558.858416717,0.529835796929486
1983-01-31,1983-02-06,740069.3795787878,0.04212053493860557
1983-02-25,1983-03-13,61160895.9195219,0.9714576148538923
1983-03-24,1983-04-15,34789791.85466707,0.8677347882966621
1983-08-08,1983-08-22,200285.65082145104,0.011578594970209743
1983-09-06,1983-10-30,9515103.365277227,0.42494024665657426
1986-01-26,1986-02-06,15304475.675810516,0.5893113843799558
1986-05-03,1986-05-14,990891.1775699718,0.0559895449104485
1987-03-31,1987-04-07,905290.5607939836,0.05127903965047598
1989-02-13,1989-03-06,11941961.833301326,0.5006247939277124
1990-04-20,1990-05-08,3478747.655743909,0.18313477117927546
1991-12-13,1991-12-29,25666963.900679912,0.775184402308762
1992-03-20,1992-04-06,42350460.57044341,0.9147853275488894
1992-04-16,1992-06-15,26221918.294177204,0.7823232461753726
1992-07-14,1992-07-22,1464708.887818023,0.08164333982881034
1994-06-12,1994-09-18,55912479.001758486,0.9612715866881232
1996-07-13,1996-08-29,2211799.612274681,0.12068408963446287
1996-09-12,1996-09-20,934534.2859908649,0.05289092628401826
1998-01-16,1998-02-22,77360992.86696585,0.9888728074637232
1998-05-28,1998-06-21,16039073.007305011,0.6064846170096214
1999-12-23,1999-12-29,1071700.9184496508,0.06041495035328048
2001-12-08,2001-12-20,2201272.3990204874,0.12014566641219082
2002-01-14,2002-02-01,39645124.91737672,0.9002683915564391
2002-05-17,2002-06-07,18843777.643367384,0.6657019196341037
2003-08-18,2003-09-23,5019945.679740822,0.25315549018598427
2003-10-20,2003-10-27,243119.30802253349,0.014037371549866506
2003-11-08,2003-11-26,3178367.399156554,0.16874172893175132
2010-11-15,2010-11-30,1475666.9960608683,0.08222831995316726
2016-01-24,2016-01-30,21700145.505251482,0.7168598952242997
2016-11-01,2016-11-10,1953132.3854335432,0.10735842056880218
2016-12-19,2016-12-26,6724176.617556646,0.32361671130090586
2017-01-21,2017-02-19,79389271.80646755,0.9901107120490109
2017-09-04,2017-10-03,1432783.1981910863,0.07993691428411742
2017-10-26,2017-11-08,213577.94134599945,0.01234226657345261
2018-01-06,2020-03-13,6606452.71097242,0.31897073128593867
